"productId","productName","strategy","uiAction","initialUrl","finalUrlOrHost","networkOrFirstData","cancelOrRecovery","status","reason"
"spark-mail-windows","Spark","direct-artifact","install-product","https://downloads.sparkmailapp.com/Spark3/win/dist/3.30.5.140275/Spark.exe","downloads.sparkmailapp.com","Electron authorized first data 281990 bytes; total=213348680","paused then refresh/retry data 295761 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"canary-mail","Canary Mail","download-page","前往官网下载 ↗","https://canarymail.io/downloads","https://canarymail.io/downloads","HTTP 200; first=1202 bytes","external entry only; no login/install","PASS",""
"movavi-video-editor","Movavi Video Editor","direct-artifact","install-product","https://cs-asia.movavi.com/x64/2.1.0/MovaviVideoEditorPlusSetup.exe?browser=U&webuid=3ktjls&download-slug=videoeditorplus","cs-asia.movavi.com","Electron authorized first data 7539 bytes; total=2864448","paused then refresh/retry data 15063 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"coreldraw-graphics-suite","CorelDRAW Graphics Suite","direct-artifact","install-product","https://www.corel.com/akdlm/6763/downloads/free/trials/GraphicsSuite/2025/LJu8$4y2/OSM_OTP/CDGS2025.exe","www.corel.com","Electron authorized first data 65536 bytes; total=3572256","paused then refresh/retry data 81920 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"paintshop-pro","PaintShop Pro","direct-artifact","install-product","https://dwnld.paintshoppro.com/trials/psp/2023/VrCk2he58y/PSP2023Installer.exe","dwnld.paintshoppro.com","Electron authorized first data 16144 bytes; total=4524056","paused then refresh/retry data 1032328 bytes; native discard confirmation BLOCKED (manual dialog)","BLOCKED","native discard confirmation requires a real Windows user decision; automation did not auto-accept it"
"anydesk-windows","AnyDesk","download-page","前往官网下载 ↗","https://anydesk.com/en/downloads/windows","https://anydesk.com.cn/zhs","HTTP 200; first=587 bytes","external entry only; no login/install","PASS",""
"sider-windows","Sider for Windows","download-page","前往官网下载 ↗","https://sider.ai/apps/windows","","BLOCKED: fetch failed","external entry only; no login/install","BLOCKED","external site/network probe unavailable"
"skales-desktop","Skales","download-page","前往官网下载 ↗","https://skales.app/","https://skales.app/","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"ptc-creo","PTC Creo / Creo+","download-page","前往官网下载 ↗","https://www.ptc.com/en/products/creo/capabilities","https://www.ptc.com/en/products/creo/capabilities","HTTP 200; first=13644 bytes","external entry only; no login/install","PASS",""
"allplan","ALLPLAN","download-page","前往官网下载 ↗","https://www.allplan.com/products/allplan/","https://www.allplan.com/products/allplan/","HTTP 206; first=1 bytes","external entry only; no login/install","PASS",""
"anytype-desktop","Anytype","download-page","前往官网下载 ↗","https://anytype.io/downloads","https://anytype.io/downloads","HTTP 404; first=2335 bytes","external entry only; no login/install","FAIL","catalog/artifact FAIL: configured official download-page returned HTTP 404 during bounded probe"
